title,description,input_description,output_description,problem_class,problem_score
Problem 70: Loop Task,Write a program that uses loop and average to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,30
Problem 71: Recursion Task,Write a program that uses recursion and stack to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,68
Problem 72: Array Task,Write a program that uses array and sum to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,12
Problem 73: Array Task,Write a program that uses array and convert to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,9
Problem 74: Count Task,Write a program that uses count and basic math to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,14
Problem 75: Greedy Task,Write a program that uses greedy and sorting to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,70
Problem 76: Greedy Task,Write a program that uses greedy and binary search to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,39
Problem 77: Binary search Task,Write a program that uses binary search and stack to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,62
Problem 78: Average Task,Write a program that uses average and loop to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,7
Problem 79: Bitmask Task,Write a program that uses bitmask and network flow to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,99
Problem 80: Recursion Task,Write a program that uses recursion and binary search to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,38
Problem 81: Bitmask Task,Write a program that uses bitmask and shortest path to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,96
Problem 82: Array Task,Write a program that uses array and count to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,29
Problem 83: Sorting Task,Write a program that uses sorting and queue to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,42
Problem 84: Stack Task,Write a program that uses stack and queue to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,67
Problem 85: Dynamic programming Task,Write a program that uses dynamic programming and bitmask to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,94
Problem 86: Average Task,Write a program that uses average and basic math to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,17
Problem 87: Array Task,Write a program that uses array and count to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,17
Problem 88: Recursion Task,Write a program that uses recursion and stack to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,41
Problem 89: Segment tree Task,Write a program that uses segment tree and dynamic programming to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,85
Problem 90: Queue Task,Write a program that uses queue and greedy to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,32
Problem 91: Dynamic programming Task,Write a program that uses dynamic programming and graph to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,73
Problem 92: Dynamic programming Task,Write a program that uses dynamic programming and segment tree to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,79
Problem 93: Segment tree Task,Write a program that uses segment tree and network flow to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,92
Problem 94: Print Task,Write a program that uses print and array to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,24
Problem 95: Tree Task,Write a program that uses tree and network flow to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,78
Problem 96: Shortest path Task,Write a program that uses shortest path and dynamic programming to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,95
Problem 97: Print Task,Write a program that uses print and basic math to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,13
Problem 98: Basic math Task,Write a program that uses basic math and count to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,3
Problem 99: Dynamic programming Task,Write a program that uses dynamic programming and segment tree to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,92
Problem 100: Dynamic programming Task,Write a program that uses dynamic programming and shortest path to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,86
Problem 101: Segment tree Task,Write a program that uses segment tree and bitmask to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,80
Problem 102: Two pointers Task,Write a program that uses two pointers and stack to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,39
Problem 103: Tree Task,Write a program that uses tree and network flow to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,100
Problem 104: Shortest path Task,Write a program that uses shortest path and dynamic programming to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,99
Problem 105: Binary search Task,Write a program that uses binary search and hash map to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,59
Problem 106: Two pointers Task,Write a program that uses two pointers and greedy to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,58
Problem 107: Array Task,Write a program that uses array and count to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,2
Problem 108: Basic math Task,Write a program that uses basic math and sum to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,14
Problem 109: Dynamic programming Task,Write a program that uses dynamic programming and segment tree to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,75
Problem 110: Two pointers Task,Write a program that uses two pointers and stack to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,56
Problem 111: Binary search Task,Write a program that uses binary search and two pointers to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,67
Problem 112: Two pointers Task,Write a program that uses two pointers and sorting to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,61
Problem 113: Stack Task,Write a program that uses stack and two pointers to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,35
Problem 114: Sum Task,Write a program that uses sum and convert to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,30
Problem 115: Dynamic programming Task,Write a program that uses dynamic programming and bitmask to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,71
Problem 116: Segment tree Task,Write a program that uses segment tree and tree to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,72
Problem 117: Graph Task,Write a program that uses graph and shortest path to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,93
Problem 118: Count Task,Write a program that uses count and print to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,3
Problem 119: Basic math Task,Write a program that uses basic math and loop to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,30
Problem 120: Binary search Task,Write a program that uses binary search and hash map to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,45
Problem 121: Shortest path Task,Write a program that uses shortest path and graph to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,93
Problem 122: Count Task,Write a program that uses count and array to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,22
Problem 123: Network flow Task,Write a program that uses network flow and tree to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,80
Problem 124: Network flow Task,Write a program that uses network flow and shortest path to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,95
Problem 125: Basic math Task,Write a program that uses basic math and if statement to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,23
Problem 126: Loop Task,Write a program that uses loop and sum to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,10
Problem 127: Shortest path Task,Write a program that uses shortest path and dynamic programming to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,79
Problem 128: Hash map Task,Write a program that uses hash map and binary search to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,55
Problem 129: Binary search Task,Write a program that uses binary search and hash map to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,64
Problem 130: Binary search Task,Write a program that uses binary search and queue to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,36
Problem 131: Sorting Task,Write a program that uses sorting and queue to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,31
Problem 132: Network flow Task,Write a program that uses network flow and graph to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,92
Problem 133: If statement Task,Write a program that uses if statement and count to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,4
Problem 134: Binary search Task,Write a program that uses binary search and hash map to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,57
Problem 135: Segment tree Task,Write a program that uses segment tree and bitmask to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,74
Problem 136: Segment tree Task,Write a program that uses segment tree and dynamic programming to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,81
Problem 137: Convert Task,Write a program that uses convert and count to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,29
Problem 138: Hash map Task,Write a program that uses hash map and binary search to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,39
Problem 139: Queue Task,Write a program that uses queue and greedy to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,65
Problem 140: Hash map Task,Write a program that uses hash map and greedy to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,45
Problem 141: Binary search Task,Write a program that uses binary search and sorting to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,48
Problem 142: Dynamic programming Task,Write a program that uses dynamic programming and network flow to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,97
Problem 143: Bitmask Task,Write a program that uses bitmask and dynamic programming to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,83
Problem 144: Hash map Task,Write a program that uses hash map and greedy to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,45
Problem 145: Greedy Task,Write a program that uses greedy and recursion to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,64
Problem 146: Recursion Task,Write a program that uses recursion and hash map to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,50
Problem 147: Stack Task,Write a program that uses stack and binary search to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,57
Problem 148: Count Task,Write a program that uses count and sum to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,14
Problem 149: Greedy Task,Write a program that uses greedy and two pointers to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,57
Problem 150: Stack Task,Write a program that uses stack and sorting to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,52
Problem 151: Average Task,Write a program that uses average and print to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,15
Problem 152: Dynamic programming Task,Write a program that uses dynamic programming and segment tree to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,71
Problem 153: Network flow Task,Write a program that uses network flow and dynamic programming to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,90
Problem 154: Bitmask Task,Write a program that uses bitmask and dynamic programming to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,75
Problem 155: Network flow Task,Write a program that uses network flow and tree to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,76
Problem 156: If statement Task,Write a program that uses if statement and average to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,3
Problem 157: Dynamic programming Task,Write a program that uses dynamic programming and graph to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,76
Problem 158: Two pointers Task,Write a program that uses two pointers and greedy to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,45
Problem 159: Bitmask Task,Write a program that uses bitmask and shortest path to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,91
Problem 160: Queue Task,Write a program that uses queue and binary search to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,31
Problem 161: Hash map Task,Write a program that uses hash map and stack to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,54
Problem 162: Array Task,Write a program that uses array and if statement to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,8
Problem 163: Hash map Task,Write a program that uses hash map and recursion to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,66
Problem 164: Stack Task,Write a program that uses stack and sorting to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,51
Problem 165: Hash map Task,Write a program that uses hash map and sorting to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,43
Problem 166: Stack Task,Write a program that uses stack and queue to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,70
Problem 167: Loop Task,Write a program that uses loop and count to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,6
Problem 168: Hash map Task,Write a program that uses hash map and queue to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,38
Problem 169: Recursion Task,Write a program that uses recursion and hash map to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,46
Problem 170: If statement Task,Write a program that uses if statement and print to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,14
Problem 171: Shortest path Task,Write a program that uses shortest path and dynamic programming to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,79
Problem 172: Sum Task,Write a program that uses sum and array to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,19
Problem 173: Shortest path Task,Write a program that uses shortest path and dynamic programming to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,86
Problem 174: Network flow Task,Write a program that uses network flow and shortest path to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,83
Problem 175: Shortest path Task,Write a program that uses shortest path and network flow to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,90
Problem 176: If statement Task,Write a program that uses if statement and convert to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,9
Problem 177: Binary search Task,Write a program that uses binary search and two pointers to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,47
Problem 178: Basic math Task,Write a program that uses basic math and print to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,16
Problem 179: Hash map Task,Write a program that uses hash map and greedy to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,47
Problem 180: Print Task,Write a program that uses print and basic math to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,20
Problem 181: Array Task,Write a program that uses array and print to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,13
Problem 182: Network flow Task,Write a program that uses network flow and segment tree to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,94
Problem 183: Segment tree Task,Write a program that uses segment tree and dynamic programming to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,83
Problem 184: Dynamic programming Task,Write a program that uses dynamic programming and bitmask to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,87
Problem 185: Stack Task,Write a program that uses stack and hash map to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,32
Problem 186: Graph Task,Write a program that uses graph and shortest path to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,71
Problem 187: Shortest path Task,Write a program that uses shortest path and graph to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,95
Problem 188: Bitmask Task,Write a program that uses bitmask and dynamic programming to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,94
Problem 189: Recursion Task,Write a program that uses recursion and greedy to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,46
Problem 190: Graph Task,Write a program that uses graph and network flow to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,84
Problem 191: Recursion Task,Write a program that uses recursion and greedy to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,70
Problem 192: Recursion Task,Write a program that uses recursion and greedy to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,45
Problem 193: Recursion Task,Write a program that uses recursion and two pointers to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,47
Problem 194: If statement Task,Write a program that uses if statement and array to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,12
Problem 195: Bitmask Task,Write a program that uses bitmask and segment tree to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,73
Problem 196: Dynamic programming Task,Write a program that uses dynamic programming and network flow to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,97
Problem 197: Array Task,Write a program that uses array and loop to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,22
Problem 198: Segment tree Task,Write a program that uses segment tree and tree to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,75
Problem 199: Sum Task,Write a program that uses sum and print to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,28
